endTime,artistName,trackName,msPlayed
2020-09-11 21:25,Old Dominion,Goes Without Saying,247306
2020-09-11 21:54,Sara Evans,Suds in the Bucket,221741
2020-09-11 21:58,BgA,Dong Saya Dae (feat. Ryan Higa & David Choi),56695
2020-09-11 22:22,Uncle Kracker,Floatin',90835
2020-09-12 07:26,High Valley,She's With Me,180301
2020-09-12 21:38,Tim McGraw,Good Taste In Women,227146
2020-09-12 22:06,Hot Country Knights,Pick Her Up - Radio Edit,168477
2020-09-12 22:10,Zac Brown Band,From Now On,230954
2020-09-12 22:11,Counting Crows,Big Yellow Taxi,57041
2020-09-13 01:05,Rifti Beats,Cha La Head Cha La,100486
2020-09-13 08:53,Simple Plan,Summer Paradise (feat. Sean Paul) - Single Version,148664
2020-09-13 21:44,Skillet,Dead Man Walking,101660
2020-09-13 21:46,Lee Brice,Hey World,54953
2020-09-13 21:49,mxmtoon,ok on your own (feat. Carly Rae Jepsen),155693
2020-09-13 21:50,Daddy Yankee,Don Don,65753
2020-09-13 21:53,Jason Chen,Just A Dream (Acoustic),141000
2020-09-13 21:58,KANA-BOON,ないものねだり - Revenge THE FIRST TAKE,248864
2020-09-13 21:59,Wesley Dean,Maggie Ray,62933
2020-09-13 21:59,HARDY,A ROCK,39539
2020-09-13 22:01,Adam Warner,4 Square Miles,111701
2020-09-13 22:10,Jonah Prill,Friday Night,98947
2020-09-13 22:15,Carrie Underwood,Let There Be Peace,98614
2020-09-13 22:16,Alok,Don’t Cry For Me (with Jason Derulo) - Kohen Remix,58668
2020-09-13 22:17,Jonas Blue,Naked - Syn Cole Remix,61566
2020-09-13 22:19,Dallas Smith,Some Things Never Change (feat. HARDY),143836
2020-09-13 22:25,Diplo,Heartless (feat. Morgan Wallen) - Wallen Album Mix,68584
2020-09-13 22:26,Tim McGraw,Not From California,92856
2020-09-13 22:30,The Killers,Lightning Fields (feat. k.d. lang),188736
2020-09-13 22:41,John Mayer,Wildfire,253493
2020-09-13 22:50,Two Door Cinema Club,Undercover Martyn,167773
2020-09-13 22:54,Bowling For Soup,Almost,206160
2020-09-13 23:08,Fairground Saints,Somethin' From Nothin',219880
2020-09-13 23:11,Boys Like Girls,Heels Over Head - Tom Lord-Alge Mix,188440
2020-09-13 23:15,Billy Currington,Don't It,189000
2020-09-13 23:20,Zac Brown Band,You and Islands,230431
2020-09-13 23:27,Tim McGraw,Thought About You,225694
2020-09-13 23:32,JTM,Money Boat,187624
2020-09-13 23:39,blink-182,What's My Age Again?,148360
2020-09-13 23:42,Kenny Chesney,American Kids,182960
2020-09-13 23:43,The Worship Initiative,Chain Breaker,46742
2020-09-14 05:23,Fairground Saints,Somethin' From Nothin',219880
2020-09-14 05:31,Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",201093
2020-09-14 05:42,Jay Park,좋아 Joah (Remastered),230085
2020-09-14 05:46,John Mayer,Say,230213
2020-09-14 05:54,John Mayer,Wildfire,253493
2020-09-14 05:57,Joseph Vincent,If You Stay,197546
2020-09-14 06:01,MKTO,Party With My Friends,153324
2020-09-14 06:02,Love & The Outcome,King of My Heart,52210
2020-09-14 18:54,Fall Out Boy,"Sugar, We're Goin Down",229093
2020-09-14 18:58,Danny Ocean,Me Rehúso,205714
2020-09-14 19:12,Luke Bryan,One Margarita,193426
2020-09-14 19:18,Jonas Brothers,Fly With Me,188038
2020-09-14 21:45,Dallas Smith,Some Things Never Change (feat. HARDY),171626
2020-09-14 21:51,blink-182,Adam's Song,46008
2020-09-14 21:53,Pitbull,International Love (feat. Chris Brown),80125
2020-09-14 22:17,Avicii,Hey Brother,135186
2020-09-14 22:22,Five For Fighting,Superman (It's Not Easy),221693
2020-09-14 22:26,Ryan Higa,Millennial Love (feat. Kina Grannis),233433
