endTime,artistName,trackName,Day of the Week,Genres,msPlayed
2020-03-21 22:59,Santana,Into the Night (feat. Chad Kroeger),Saturday,"['blues rock', 'classic rock', 'mexican classic rock', 'rock']",222440
2020-03-21 23:37,Elvis Presley,Suspicious Minds,Saturday,"['rock-and-roll', 'rockabilly']",261280
2020-03-22 00:00,Boston,Foreplay / Long Time,Sunday,"['album rock', 'art rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",467640
2020-03-22 00:03,Hunter Hayes,Tattoo,Sunday,"['contemporary country', 'country', 'country road', 'modern country rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",196733
2020-03-22 00:17,One Direction,Diana,Sunday,"['boy band', 'pop', 'post-teen pop', 'talent show']",184666
2020-03-22 00:50,Zac Brown Band,Let It Go,Sunday,"['contemporary country', 'country', 'country road', 'modern country rock']",242853
2020-03-22 00:54,Sam Hunt,House Party,Sunday,"['contemporary country', 'country pop']",190240
2020-03-22 03:44,We The Kings,Kids In The Moonlight,Sunday,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",151858
2020-03-22 03:45,We The Kings,Kids In The Moonlight,Sunday,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",51491
2020-03-22 03:51,Neil Diamond,Cracklin' Rosie,Sunday,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",176760
2020-03-22 03:54,Dan + Shay,"10,000 Hours (with Justin Bieber)",Sunday,"['contemporary country', 'pop']",164666
2020-03-22 03:57,Luke Combs,Even Though I'm Leaving,Sunday,['contemporary country'],217963
2020-03-22 04:08,Dean Brody,It's Friday,Sunday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",190960
2020-03-22 04:09,J Balvin,Mi Gente,Sunday,"['latin', 'reggaeton', 'reggaeton colombiano']",31868
2020-03-22 04:12,Lady A,What I’m Leaving For,Sunday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",197278
2020-03-22 04:13,John Denver,Calypso,Sunday,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']",73188
2020-03-22 04:16,Troy,Bet On It,Sunday,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",198320
2020-03-22 04:17,Robbie Williams,"Collision of Worlds - From ""Cars 2""/Soundtrack Version",Sunday,"['dance pop', 'europop', 'pop']",37674
2020-03-22 04:24,Old Dominion,One Man Band,Sunday,"['contemporary country', 'country road']",183633
2020-03-22 04:33,Counting Crows,Big Yellow Taxi,Sunday,"['alternative rock', 'mellow gold', 'neo mellow', 'pop rock', 'rock']",59026
2020-03-22 04:37,The Goo Goo Dolls,Come to Me,Sunday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",225333
2020-03-23 01:17,ABBA,Waterloo,Monday,"['europop', 'swedish pop']",153531
2020-03-23 01:20,Ed Sheeran,Nancy Mulligan,Monday,"['pop', 'uk pop']",176144
2020-03-23 01:24,Jonas Brothers,Like It's Christmas,Monday,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",200880
2020-03-23 01:25,Luke Combs,One Number Away,Monday,['contemporary country'],64912
2020-03-23 01:26,The Beach Boys,Barbara Ann,Monday,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",79562
2020-03-23 01:42,Zac Brown Band,The Wind,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",176800
2020-03-23 01:45,Neil Diamond,Cracklin' Rosie,Monday,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",178853
