endTime,artistName,trackName,Day of the Week,msPlayed
2020-03-21 22:59,Santana,Into the Night (feat. Chad Kroeger),Saturday,
2020-03-21 23:00,Owl City,Good Time,Saturday,
2020-03-21 23:00,Twenty One Pilots,Polarize,Saturday,
2020-03-21 23:00,Twenty One Pilots,Ode to Sleep,Saturday,
2020-03-21 23:00,Casting Crowns,All You've Ever Wanted,Saturday,
2020-03-21 23:00,Awkwafina,My Vag,Saturday,
2020-03-21 23:00,Hillsong UNITED,Hosanna,Saturday,
2020-03-21 23:00,The Worship Initiative,Happy Day,Saturday,
2020-03-21 23:00,Scott & Brendo,Beat Calls (Bonus Track),Saturday,
2020-03-21 23:04,The All-American Rejects,Move Along,Saturday,
2020-03-21 23:04,EXO,으르렁 Growl,Saturday,
2020-03-21 23:04,The Lonely Island,I Just Had Sex,Saturday,
2020-03-21 23:04,Five For Fighting,100 Years,Saturday,
2020-03-21 23:04,VERIDIA,Disconnected,Saturday,
2020-03-21 23:04,Calvin Harris,One Kiss (with Dua Lipa),Saturday,
2020-03-21 23:04,Jordan Davis,Singles You Up,Saturday,
2020-03-21 23:04,Dan Balan,Ma Ya Hi (Dragostea Din Tei) - Original Mix,Saturday,
2020-03-21 23:04,Seal,Kiss from a Rose,Saturday,
2020-03-21 23:04,Keith Urban,We Were Us,Saturday,
2020-03-21 23:04,Jamie Grace,Hold Me (feat. Tobymac),Saturday,
2020-03-21 23:05,Black Eyed Peas,I Gotta Feeling,Saturday,
2020-03-21 23:05,Santana,Smooth (feat. Rob Thomas),Saturday,
2020-03-21 23:05,AC/DC,You Shook Me All Night Long,Saturday,
2020-03-21 23:05,Miley Cyrus,Party In The U.S.A.,Saturday,
2020-03-21 23:05,Josh Gracin,Nothin' To Lose,Saturday,
2020-03-21 23:05,Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),Saturday,
2020-03-21 23:05,Rixton,Me And My Broken Heart,Saturday,
2020-03-21 23:05,Divided By Friday,Relapse,Saturday,
2020-03-21 23:05,Alicia Keys,No One,Saturday,
2020-03-21 23:05,Jonas Brothers,Hold On,Saturday,
2020-03-21 23:05,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),Saturday,
2020-03-21 23:09,Reik,Me Niego (feat. Ozuna & Wisin),Saturday,
2020-03-21 23:09,Rixton,Hotel Ceiling,Saturday,
2020-03-21 23:09,Kelsea Ballerini,Legends,Saturday,
2020-03-21 23:09,Gwen Stefani,The Sweet Escape,Saturday,
2020-03-21 23:09,Paul Brandt,Alberta Bound,Saturday,
2020-03-21 23:09,Bruno Mars,The Lazy Song,Saturday,
2020-03-21 23:09,Quietdrive,Time After Time,Saturday,
2020-03-21 23:09,Taylor Swift,Shake It Off,Saturday,
2020-03-21 23:09,Blue Öyster Cult,Godzilla,Saturday,
2020-03-21 23:09,KB,Church Clap,Saturday,
2020-03-21 23:09,J.Fla,Cold Water,Saturday,
