endTime,artistName,trackName,Day of the Week,msPlayed
2019-09-20 23:06,blink-182,Remember To Forget Me,Friday,34020
2019-09-25 21:20,Veronica Vega,Wave (feat. Lil Wayne & Jeremih),Wednesday,52226
2019-09-30 14:40,Old Dominion,Make It Sweet,Monday,186133
2019-09-30 14:43,Chris Young,I'm Comin' Over,Monday,197280
2019-09-30 14:46,Old Dominion,Song for Another Time,Monday,191826
2019-09-30 15:58,Jonas Brothers,Fly With Me,Monday,31923
2019-09-30 16:55,Dan + Shay,Stupid Love,Monday,194693
2019-09-30 16:59,Jay Park,좋아 Joah - Remastered,Monday,230085
2019-09-30 17:53,Gente De Zona,Yo Quiero (Si Tu Te Enamoras),Monday,210973
2019-09-30 19:33,Panic! At The Disco,Nine in the Afternoon - Single Mix,Monday,198282
2019-09-30 19:35,Little Big Town,From This Dream,Monday,125633
2019-09-30 20:42,Sam Hunt,Leave The Night On,Monday,192160
2019-09-30 20:45,The Beatles,I Want To Hold Your Hand - Remastered 2015,Monday,145746
2019-09-30 20:49,Florida Georgia Line,Simple,Monday,185200
2019-09-30 21:01,Greek Fire,Top of the World,Monday,79467
2019-09-30 21:15,Jonas Brothers,Strangers,Monday,167523
2019-10-01 00:00,Phil Collins,You Can't Hurry Love - 2016 Remaster,Tuesday,39739
2019-10-01 02:25,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,Tuesday,85646
2019-10-01 14:59,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,Tuesday,219413
2019-10-01 15:55,Hillsong Worship,I Surrender - Live,Tuesday,224657
2019-10-01 17:12,Jonas Brothers,Paranoid,Tuesday,155412
2019-10-01 18:08,Old Dominion,My Heart Is a Bar,Tuesday,238986
2019-10-01 18:17,Twenty One Pilots,Not Today,Tuesday,228393
2019-10-01 18:19,Twenty One Pilots,House of Gold,Tuesday,163880
2019-10-01 18:45,Boys Like Girls,Five Minutes to Midnight,Tuesday,209567
2019-10-01 20:06,Robin Schulz,Sugar (feat. Francesco Yates),Tuesday,219043
2019-10-01 20:18,Joe Jonas,"Gotta Find You - From ""Camp Rock""/Soundtrack Version",Tuesday,194698
2019-10-01 20:25,Mark Keali'i Ho'omalu,"He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version",Tuesday,148133
2019-10-01 20:56,blink-182,Darkside,Tuesday,180960
2019-10-01 20:57,Haley & Michaels,Giving It All (To You),Tuesday,54899
2019-10-01 21:00,Bowling For Soup,Almost,Tuesday,206160
2019-10-01 21:02,Old Dominion,No Such Thing as a Broken Heart,Tuesday,68909
2019-10-01 21:28,Rush,Limelight,Tuesday,259840
2019-10-01 21:40,Jet,Are You Gonna Be My Girl,Tuesday,213800
2019-10-01 21:45,Eminem,Without Me,Tuesday,290320
2019-10-01 21:49,Santana,Into the Night (feat. Chad Kroeger),Tuesday,222440
2019-10-01 21:57,U2,Vertigo,Tuesday,194520
