Genre,Unnamed: 0,endTime,artistName,trackName,Day of the Week,Genres,msPlayed
a cappella,3,3,3,3,3,3,3
acoustic pop,12,12,12,12,12,12,12
adult standards,21,21,21,21,21,21,21
alberta country,3,3,3,3,3,3,3
album rock,43,43,43,43,43,43,43
alternative country,1,1,1,1,1,1,1
alternative hip hop,6,6,6,6,6,6,6
alternative metal,8,8,8,8,8,8,8
alternative pop rock,1,1,1,1,1,1,1
alternative r&b,46,46,46,46,46,46,46
alternative rock,16,16,16,16,16,16,16
anime,15,15,15,15,15,15,15
anthem worship,13,13,13,13,13,13,13
arkansas country,4,4,4,4,4,4,4
australian country,11,11,11,11,11,11,11
australian pop,3,3,3,3,3,3,3
australian psych,1,1,1,1,1,1,1
bakersfield sound,3,3,3,3,3,3,3
banjo,1,1,1,1,1,1,1
baroque pop,5,5,5,5,5,5,5
bass trap,1,1,1,1,1,1,1
beatlesque,2,2,2,2,2,2,2
bedroom pop,2,2,2,2,2,2,2
big room,5,5,5,5,5,5,5
blues rock,1,1,1,1,1,1,1
boy band,20,20,20,20,20,20,20
brill building pop,4,4,4,4,4,4,4
british soul,1,1,1,1,1,1,1
canadian ccm,2,2,2,2,2,2,2
canadian contemporary country,12,12,12,12,12,12,12
canadian contemporary r&b,7,7,7,7,7,7,7
canadian pop,2,2,2,2,2,2,2
canadian pop punk,1,1,1,1,1,1,1
candy pop,1,1,1,1,1,1,1
ccm,18,18,18,18,18,18,18
celtic,2,2,2,2,2,2,2
channel pop,1,1,1,1,1,1,1
chicago hardcore,1,1,1,1,1,1,1
christian,2,2,2,2,2,2,2
christian alternative rock,2,2,2,2,2,2,2
christian hip hop,1,1,1,1,1,1,1
classic country pop,1,1,1,1,1,1,1
classic rock,2,2,2,2,2,2,2
classic uk pop,1,1,1,1,1,1,1
colombian pop,2,2,2,2,2,2,2
comic,6,6,6,6,6,6,6
contemporary country,243,243,243,243,243,243,243
country,10,10,10,10,10,10,10
country pop,1,1,1,1,1,1,1
country rap,1,1,1,1,1,1,1
country rock,1,1,1,1,1,1,1
dance pop,75,75,75,75,75,75,75
dance rock,1,1,1,1,1,1,1
detroit hip hop,2,2,2,2,2,2,2
dfw rap,2,2,2,2,2,2,2
disco,2,2,2,2,2,2,2
doo-wop,2,2,2,2,2,2,2
electro house,1,1,1,1,1,1,1
electropop,1,1,1,1,1,1,1
emo,5,5,5,5,5,5,5
europop,6,6,6,6,6,6,6
folk,1,1,1,1,1,1,1
folk-pop,3,3,3,3,3,3,3
garage rock,1,1,1,1,1,1,1
glam metal,1,1,1,1,1,1,1
glam rock,1,1,1,1,1,1,1
hollywood,4,4,4,4,4,4,4
idol,1,1,1,1,1,1,1
indie pop,7,7,7,7,7,7,7
indie pop rap,1,1,1,1,1,1,1
indie poptimism,1,1,1,1,1,1,1
irish rock,3,3,3,3,3,3,3
jawaiian,2,2,2,2,2,2,2
k-pop,10,10,10,10,10,10,10
latin,2,2,2,2,2,2,2
latin alternative,1,1,1,1,1,1,1
mellow gold,7,7,7,7,7,7,7
modern alternative rock,3,3,3,3,3,3,3
modern folk rock,1,1,1,1,1,1,1
modern rock,12,12,12,12,12,12,12
motown,1,1,1,1,1,1,1
movie tunes,4,4,4,4,4,4,4
native american,1,1,1,1,1,1,1
neo mellow,5,5,5,5,5,5,5
neo-classical,2,2,2,2,2,2,2
neon pop punk,8,8,8,8,8,8,8
permanent wave,1,1,1,1,1,1,1
pop,17,17,17,17,17,17,17
pop emo,3,3,3,3,3,3,3
pop punk,1,1,1,1,1,1,1
pop rap,1,1,1,1,1,1,1
pop soul,1,1,1,1,1,1,1
post-teen pop,1,1,1,1,1,1,1
rap latina,1,1,1,1,1,1,1
rock,1,1,1,1,1,1,1
rock-and-roll,5,5,5,5,5,5,5
roots rock,3,3,3,3,3,3,3
worship,1,1,1,1,1,1,1
