endTime,artistName,trackName,msPlayed
2019-09-20 23:06,blink-182,Remember To Forget Me,34020
2019-09-25 21:20,Veronica Vega,Wave (feat. Lil Wayne & Jeremih),52226
2019-09-30 14:40,Old Dominion,Make It Sweet,186133
2019-09-30 14:43,Chris Young,I'm Comin' Over,197280
2019-09-30 14:46,Old Dominion,Song for Another Time,191826
2019-09-30 15:58,Jonas Brothers,Fly With Me,31923
2019-09-30 16:55,Dan + Shay,Stupid Love,194693
2019-09-30 16:59,Jay Park,좋아 Joah - Remastered,230085
2019-09-30 17:53,Gente De Zona,Yo Quiero (Si Tu Te Enamoras),210973
2019-09-30 19:33,Panic! At The Disco,Nine in the Afternoon - Single Mix,198282
2019-09-30 19:35,Little Big Town,From This Dream,125633
2019-09-30 20:42,Sam Hunt,Leave The Night On,192160
2019-09-30 20:45,The Beatles,I Want To Hold Your Hand - Remastered 2015,145746
2019-09-30 20:49,Florida Georgia Line,Simple,185200
2019-09-30 21:01,Greek Fire,Top of the World,79467
2019-09-30 21:15,Jonas Brothers,Strangers,167523
2019-10-01 00:00,Phil Collins,You Can't Hurry Love - 2016 Remaster,39739
2019-10-01 02:25,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,85646
2019-10-01 14:59,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,219413
2019-10-01 15:55,Hillsong Worship,I Surrender - Live,224657
2019-10-01 17:12,Jonas Brothers,Paranoid,155412
2019-10-01 18:08,Old Dominion,My Heart Is a Bar,238986
2019-10-01 18:17,Twenty One Pilots,Not Today,228393
2019-10-01 18:19,Twenty One Pilots,House of Gold,163880
2019-10-01 18:45,Boys Like Girls,Five Minutes to Midnight,209567
2019-10-01 20:06,Robin Schulz,Sugar (feat. Francesco Yates),219043
2019-10-01 20:18,Joe Jonas,"Gotta Find You - From ""Camp Rock""/Soundtrack Version",194698
2019-10-01 20:25,Mark Keali'i Ho'omalu,"He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version",148133
2019-10-01 20:56,blink-182,Darkside,180960
2019-10-01 20:57,Haley & Michaels,Giving It All (To You),54899
2019-10-01 21:00,Bowling For Soup,Almost,206160
2019-10-01 21:02,Old Dominion,No Such Thing as a Broken Heart,68909
2019-10-01 21:28,Rush,Limelight,259840
2019-10-01 21:40,Jet,Are You Gonna Be My Girl,213800
2019-10-01 21:45,Eminem,Without Me,290320
2019-10-01 21:49,Santana,Into the Night (feat. Chad Kroeger),222440
2019-10-01 21:57,U2,Vertigo,194520
2019-10-01 22:11,High Valley,I Be U Be,213093
2019-10-01 22:15,U2,The Miracle (Of Joey Ramone),255382
2019-10-01 22:39,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",162544
2019-10-02 00:55,BROWN & GRAY,Top Down,181594
2019-10-02 00:58,Guy Sebastian,Like It Like That,104385
2019-10-02 03:21,HIXTAPE,Nothin’ Out Here (HARDY feat. Thomas Rhett),214600
2019-10-02 03:22,Uzuhan,Uzusauce,56308
2019-10-02 03:34,Billy Joel,We Didn't Start the Fire,287733
2019-10-02 03:43,Kenny Chesney,All the Pretty Girls,212893
2019-10-02 03:55,Zac Brown Band,Chicken Fried,82174
2019-10-02 04:11,John Denver,"Take Me Home, Country Roads - Rerecorded",197813
2019-10-02 04:15,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,219413
2019-10-02 04:20,Brewer & Shipley,One Toke Over the Line,199041
2019-10-02 04:49,Matthew West,Grace Wins,42623
2019-10-02 16:37,Sidewalk Prophets,Smile,176133
2019-10-02 16:41,Jonas Brothers,S.O.S.,153346
2019-10-02 16:48,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",210772
2019-10-02 18:56,Pentatonix,Sing,105597
2019-10-02 21:07,The Beach Boys,Little Saint Nick - 1991 Remix,80098
2019-10-02 21:11,First Class,Beach Baby,289681
2019-10-02 21:14,Straight No Chaser,Feels like Christmas (feat. Jana Kramer),179186
2019-10-02 21:17,Thomas Rhett,Sixteen,178333
2019-10-02 21:28,Backstreet Boys,It's Christmas Time Again,203028
2019-10-02 21:36,Stellar Kart,Kiss the Girl,201626
2019-10-02 21:51,Beach Avenue,Coming Your Way,85841
2019-10-02 22:30,Frankie Valli & The Four Seasons,I've Got You Under My Skin,49043
2019-10-02 22:32,Frankie Valli & The Four Seasons,Alone,69123
2019-10-02 22:32,Frankie Valli & The Four Seasons,C'mon Marianne,30430
2019-10-02 22:34,Frankie Valli & The Four Seasons,Our Day Will Come - Live,33392
2019-10-02 22:57,Jonas Brothers,Fly With Me,142863
2019-10-02 23:37,Blue Öyster Cult,Burnin' for You,177412
2019-10-02 23:41,Sister Hazel,Mandolin Moon,214346
2019-10-03 00:47,The Ready Set,Love Like Woe,119361
