endTime,artistName,trackName,Day of the Week,Genres,msPlayed
3/21/2020 22:59,Santana,Into the Night (feat. Chad Kroeger),Saturday,"['blues rock', 'classic rock', 'mexican classic rock', 'rock']",222440
3/21/2020 23:37,Elvis Presley,Suspicious Minds,Saturday,"['rock-and-roll', 'rockabilly']",261280
3/22/2020 0:00,Boston,Foreplay / Long Time,Sunday,"['album rock', 'art rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",467640
3/22/2020 0:03,Hunter Hayes,Tattoo,Sunday,"['contemporary country', 'country', 'country road', 'modern country rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",196733
3/22/2020 0:17,One Direction,Diana,Sunday,"['boy band', 'pop', 'post-teen pop', 'talent show']",184666
3/22/2020 0:50,Zac Brown Band,Let It Go,Sunday,"['contemporary country', 'country', 'country road', 'modern country rock']",242853
3/22/2020 0:54,Sam Hunt,House Party,Sunday,"['contemporary country', 'country pop']",190240
3/22/2020 3:44,We The Kings,Kids In The Moonlight,Sunday,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",151858
3/22/2020 3:45,We The Kings,Kids In The Moonlight,Sunday,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",51491
3/22/2020 3:51,Neil Diamond,Cracklin' Rosie,Sunday,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",176760
3/22/2020 3:54,Dan + Shay,"10,000 Hours (with Justin Bieber)",Sunday,"['contemporary country', 'pop']",164666
3/22/2020 3:57,Luke Combs,Even Though I'm Leaving,Sunday,['contemporary country'],217963
3/22/2020 4:08,Dean Brody,It's Friday,Sunday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",190960
3/22/2020 4:09,J Balvin,Mi Gente,Sunday,"['latin', 'reggaeton', 'reggaeton colombiano']",31868
3/22/2020 4:12,Lady A,What I’m Leaving For,Sunday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",197278
3/22/2020 4:13,John Denver,Calypso,Sunday,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']",73188
3/22/2020 4:16,Troy,Bet On It,Sunday,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",198320
3/22/2020 4:17,Robbie Williams,"Collision of Worlds - From ""Cars 2""/Soundtrack Version",Sunday,"['dance pop', 'europop', 'pop']",37674
3/22/2020 4:24,Old Dominion,One Man Band,Sunday,"['contemporary country', 'country road']",183633
3/22/2020 4:33,Counting Crows,Big Yellow Taxi,Sunday,"['alternative rock', 'mellow gold', 'neo mellow', 'pop rock', 'rock']",59026
3/22/2020 4:37,The Goo Goo Dolls,Come to Me,Sunday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",225333
3/23/2020 1:17,ABBA,Waterloo,Monday,"['europop', 'swedish pop']",153531
3/23/2020 1:20,Ed Sheeran,Nancy Mulligan,Monday,"['pop', 'uk pop']",176144
3/23/2020 1:24,Jonas Brothers,Like It's Christmas,Monday,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",200880
3/23/2020 1:25,Luke Combs,One Number Away,Monday,['contemporary country'],64912
3/23/2020 1:26,The Beach Boys,Barbara Ann,Monday,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",79562
3/23/2020 1:42,Zac Brown Band,The Wind,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",176800
3/23/2020 1:45,Neil Diamond,Cracklin' Rosie,Monday,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",178853
3/23/2020 1:49,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",Monday,"['dance pop', 'hollywood', 'movie tunes', 'post-teen pop', 'show tunes']",224240
3/23/2020 1:53,Lady A,What I’m Leaving For,Monday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",198455
3/23/2020 1:54,Selena,Bidi Bidi Bom Bom,Monday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",83456
3/23/2020 1:58,Sam Hunt,Sinning With You,Monday,"['contemporary country', 'country pop']",50002
3/23/2020 2:01,Luke Combs,Beautiful Crazy,Monday,['contemporary country'],193200
3/23/2020 2:04,Phil Collins,Strangers Like Me,Monday,"['mellow gold', 'rock drums', 'soft rock']",180520
3/23/2020 2:05,Ryan Higa,Millennial Love (feat. Kina Grannis),Monday,['contemporary country'],56698
3/23/2020 2:19,Gloria Gaynor,I Will Survive - 1981 Re-recording,Monday,"['disco', 'europop']",257340
3/23/2020 2:34,Trisha Yearwood,She's In Love With The Boy - Single Version,Monday,"['contemporary country', 'country', 'country dawn', 'country road']",62760
3/23/2020 2:35,Hunter Hayes,One Shot,Monday,"['contemporary country', 'country', 'country road', 'modern country rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",31230
3/23/2020 2:43,Avril Lavigne,Here's to Never Growing Up,Monday,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",38600
3/23/2020 2:44,Clark Richard,Red Robin,Monday,['pop'],46060
3/23/2020 2:53,MKTO,Party With My Friends,Monday,"['dance pop', 'electropop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",87190
3/23/2020 2:55,Sam Hunt,Hard To Forget - Radio Edit,Monday,"['contemporary country', 'country pop']",95040
3/23/2020 2:58,Chris Young,Drowning - Piano Version,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",45480
3/23/2020 3:04,Rascal Flatts,I Won't Let Go,Monday,"['contemporary country', 'country', 'country road', 'pop rock']",220530
3/23/2020 3:10,Rascal Flatts,Rewind,Monday,"['contemporary country', 'country', 'country road', 'pop rock']",61100
3/23/2020 3:15,Chris Young,Raised on Country,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",104630
3/23/2020 3:23,Chris Young,Hangin' On,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",109800
3/23/2020 3:28,Chris Young,Drowning - Piano Version,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",97320
3/23/2020 3:29,The Killers,Caution - Radio Edit,Monday,"['modern rock', 'permanent wave', 'rock']",67460
3/23/2020 3:33,The Worship Initiative,Blessed Assurance,Monday,"['anthem worship', 'ccm', 'indiecoustica', 'roots worship', 'world worship']",98790
3/23/2020 3:34,Jelly Roll,Creature,Monday,"['country rap', 'nashville hip hop', 'tennessee hip hop']",49650
3/23/2020 3:34,AB,Bad Decisions,Monday,"['europop', 'swedish pop']",32790
3/23/2020 5:40,Selena,Amor Prohibido,Monday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",104580
3/23/2020 17:09,Rascal Flatts,Fast Cars And Freedom,Monday,"['contemporary country', 'country', 'country road', 'pop rock']",262186
3/23/2020 17:13,Luke Bryan,One Margarita,Monday,"['contemporary country', 'country', 'country road']",193426
3/23/2020 17:16,Selena,Bidi Bidi Bom Bom,Monday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",187524
3/23/2020 18:06,Buddy Jewell,Sweet Southern Comfort,Monday,"['country', 'country road']",211951
3/23/2020 18:20,Brad Paisley,Last Time for Everything,Monday,"['contemporary country', 'country', 'country road']",207323
3/24/2020 1:28,Selena,El Chico Del Apartamento 512,Tuesday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",204240
