,endTime,artistName,trackName,Genre,Day of the Week,Genres,msPlayed
0,3/21/2020 22:59,Santana,Into the Night (feat. Chad Kroeger),blues rock,Saturday,"['blues rock', 'classic rock', 'mexican classic rock', 'rock']",222440
1,3/21/2020 23:37,Elvis Presley,Suspicious Minds,rock-and-roll,Saturday,"['rock-and-roll', 'rockabilly']",261280
2,3/22/2020 0:00,Boston,Foreplay / Long Time,album rock,Sunday,"['album rock', 'art rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",467640
3,3/22/2020 0:03,Hunter Hayes,Tattoo,contemporary country,Sunday,"['contemporary country', 'country', 'country road', 'modern country rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",196733
4,3/22/2020 0:17,One Direction,Diana,boy band,Sunday,"['boy band', 'pop', 'post-teen pop', 'talent show']",184666
5,3/22/2020 0:50,Zac Brown Band,Let It Go,contemporary country,Sunday,"['contemporary country', 'country', 'country road', 'modern country rock']",242853
6,3/22/2020 0:54,Sam Hunt,House Party,contemporary country,Sunday,"['contemporary country', 'country pop']",190240
7,3/22/2020 3:44,We The Kings,Kids In The Moonlight,neon pop punk,Sunday,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",151858
8,3/22/2020 3:45,We The Kings,Kids In The Moonlight,neon pop punk,Sunday,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",51491
9,3/22/2020 3:51,Neil Diamond,Cracklin' Rosie,adult standards,Sunday,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",176760
10,3/22/2020 3:54,Dan + Shay,"10,000 Hours (with Justin Bieber)",contemporary country,Sunday,"['contemporary country', 'pop']",164666
11,3/22/2020 3:57,Luke Combs,Even Though I'm Leaving,contemporary country,Sunday,['contemporary country'],217963
12,3/22/2020 4:08,Dean Brody,It's Friday,canadian contemporary country,Sunday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",190960
13,3/22/2020 4:09,J Balvin,Mi Gente,latin,Sunday,"['latin', 'reggaeton', 'reggaeton colombiano']",31868
14,3/22/2020 4:12,Lady A,What I’m Leaving For,contemporary country,Sunday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",197278
15,3/22/2020 4:13,John Denver,Calypso,adult standards,Sunday,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']",73188
16,3/22/2020 4:16,Troy,Bet On It,australian pop,Sunday,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",198320
17,3/22/2020 4:17,Robbie Williams,"Collision of Worlds - From ""Cars 2""/Soundtrack Version",dance pop,Sunday,"['dance pop', 'europop', 'pop']",37674
18,3/22/2020 4:24,Old Dominion,One Man Band,contemporary country,Sunday,"['contemporary country', 'country road']",183633
19,3/22/2020 4:33,Counting Crows,Big Yellow Taxi,alternative rock,Sunday,"['alternative rock', 'mellow gold', 'neo mellow', 'pop rock', 'rock']",59026
20,3/22/2020 4:37,The Goo Goo Dolls,Come to Me,alternative rock,Sunday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",225333
21,3/23/2020 1:17,ABBA,Waterloo,europop,Monday,"['europop', 'swedish pop']",153531
22,3/23/2020 1:20,Ed Sheeran,Nancy Mulligan,pop,Monday,"['pop', 'uk pop']",176144
23,3/23/2020 1:24,Jonas Brothers,Like It's Christmas,boy band,Monday,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",200880
24,3/23/2020 1:25,Luke Combs,One Number Away,contemporary country,Monday,['contemporary country'],64912
25,3/23/2020 1:26,The Beach Boys,Barbara Ann,baroque pop,Monday,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",79562
26,3/23/2020 1:42,Zac Brown Band,The Wind,contemporary country,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",176800
27,3/23/2020 1:45,Neil Diamond,Cracklin' Rosie,adult standards,Monday,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",178853
28,3/23/2020 1:49,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",dance pop,Monday,"['dance pop', 'hollywood', 'movie tunes', 'post-teen pop', 'show tunes']",224240
29,3/23/2020 1:53,Lady A,What I’m Leaving For,contemporary country,Monday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",198455
