,endTime,artistName,trackName,Genre,msPlayed,Day of the Week
0,9/20/2019 23:06,blink-182,Remember To Forget Me,pop punk,34020,Friday
1,9/25/2019 21:20,Veronica Vega,Wave (feat. Lil Wayne & Jeremih),rap latina,52226,Wednesday
2,9/30/2019 14:40,Old Dominion,Make It Sweet,contemporary country,186133,Monday
3,9/30/2019 14:43,Chris Young,I'm Comin' Over,contemporary country,197280,Monday
4,9/30/2019 14:46,Old Dominion,Song for Another Time,contemporary country,191826,Monday
5,9/30/2019 15:58,Jonas Brothers,Fly With Me,boy band,31923,Monday
6,9/30/2019 16:55,Dan + Shay,Stupid Love,contemporary country,194693,Monday
7,9/30/2019 16:59,Jay Park,좋아 Joah - Remastered,k-pop,230085,Monday
8,9/30/2019 17:53,Gente De Zona,Yo Quiero (Si Tu Te Enamoras),cubaton,210973,Monday
9,9/30/2019 19:33,Panic! At The Disco,Nine in the Afternoon - Single Mix,baroque pop,198282,Monday
10,9/30/2019 19:35,Little Big Town,From This Dream,contemporary country,125633,Monday
11,9/30/2019 20:42,Sam Hunt,Leave The Night On,contemporary country,192160,Monday
12,9/30/2019 20:45,The Beatles,I Want To Hold Your Hand - Remastered 2015,beatlesque,145746,Monday
13,9/30/2019 20:49,Florida Georgia Line,Simple,contemporary country,185200,Monday
14,9/30/2019 21:01,Greek Fire,Top of the World,stl indie,79467,Monday
15,9/30/2019 21:15,Jonas Brothers,Strangers,boy band,167523,Monday
16,10/1/2019 0:00,Phil Collins,You Can't Hurry Love - 2016 Remaster,mellow gold,39739,Tuesday
17,10/1/2019 2:25,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,dance pop,85646,Tuesday
18,10/1/2019 14:59,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,dance pop,219413,Tuesday
19,10/1/2019 15:55,Hillsong Worship,I Surrender - Live,ccm,224657,Tuesday
20,10/1/2019 17:12,Jonas Brothers,Paranoid,boy band,155412,Tuesday
21,10/1/2019 18:08,Old Dominion,My Heart Is a Bar,contemporary country,238986,Tuesday
22,10/1/2019 18:17,Twenty One Pilots,Not Today,modern rock,228393,Tuesday
23,10/1/2019 18:19,Twenty One Pilots,House of Gold,modern rock,163880,Tuesday
24,10/1/2019 18:45,Boys Like Girls,Five Minutes to Midnight,neo mellow,209567,Tuesday
25,10/1/2019 20:06,Robin Schulz,Sugar (feat. Francesco Yates),dance pop,219043,Tuesday
26,10/1/2019 20:18,Joe Jonas,"Gotta Find You - From ""Camp Rock""/Soundtrack Version",post-teen pop,194698,Tuesday
